id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2024-1011105,2024-03-08,1,Vente,140000.0,22.0,,RUE DE POMET,5870,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,39.0,2.0,50.0,5.932006,43.123305,000CN,728
2024-1011105,2024-03-08,1,Vente,140000.0,22.0,,RUE DE POMET,5870,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,39.0,1.0,50.0,5.932006,43.123305,000CN,728
2024-1011105,2024-03-08,1,Vente,140000.0,22.0,,RUE DE POMET,5870,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,35.0,1.0,50.0,5.932006,43.123305,000CN,728
2024-1011105,2024-03-08,1,Vente,140000.0,22.0,,RUE DE POMET,5870,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,41.0,2.0,50.0,5.932006,43.123305,000CN,728
2024-1011105,2024-03-08,1,Vente,140000.0,22.0,,RUE DE POMET,5870,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,35.0,1.0,50.0,5.932006,43.123305,000CN,728
2024-1011141,2024-02-22,2,Vente,378000.0,158.0,,AV CLOVIS HUGUES,1660,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,96.0,4.0,377.0,5.906089,43.137544,000DI,743
2024-1011220,2024-03-08,1,Vente,459500.0,893.0,,CHE DES BONNES HERBES,0963,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,89.0,4.0,501.0,5.886658,43.148173,000EI,728
2024-1011292,2024-03-07,1,Vente,390000.0,109.0,,AV CHIARISOLI BEY,1560,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,80.0,3.0,305.0,5.896054,43.140404,000DT,729
2024-1011292,2024-03-07,1,Vente,390000.0,109.0,,AV CHIARISOLI BEY,1560,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,50.0,2.0,305.0,5.896054,43.140404,000DT,729
2024-1011310,2024-03-19,1,Vente,240000.0,1.0,,RUE D ANNAM,0325,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,32.0,2.0,110.0,5.913822,43.131524,000CX,717
2024-1011310,2024-03-19,1,Vente,240000.0,1.0,,RUE D ANNAM,0325,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,32.0,2.0,110.0,5.913822,43.131524,000CX,717
2024-1011310,2024-03-19,1,Vente,240000.0,1.0,,RUE D ANNAM,0325,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,71.0,3.0,110.0,5.913822,43.131524,000CX,717
2024-1011363,2024-03-07,1,Vente,130000.0,869.0,,RUE EDOUARD HERRIOT,2511,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,64.0,3.0,250.0,5.891086,43.128233,000DM,729
2024-1011363,2024-03-07,1,Vente,130000.0,869.0,,RUE EDOUARD HERRIOT,2511,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,73.0,4.0,250.0,5.891086,43.128233,000DM,729
2024-1011363,2024-03-07,1,Vente,130000.0,869.0,,RUE EDOUARD HERRIOT,2511,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,58.0,3.0,250.0,5.891086,43.128233,000DM,729
2024-1011389,2024-03-26,1,Vente,442700.0,92.0,,BD DE L ISERAN,3730,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,28.0,2.0,281.0,5.932266,43.136427,000AM,710
2024-1011389,2024-03-26,1,Vente,442700.0,92.0,,BD DE L ISERAN,3730,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,25.0,2.0,281.0,5.932266,43.136427,000AM,710
2024-1011389,2024-03-26,1,Vente,442700.0,92.0,,BD DE L ISERAN,3730,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,49.0,3.0,281.0,5.932266,43.136427,000AM,710
2024-1011389,2024-03-26,1,Vente,442700.0,92.0,,BD DE L ISERAN,3730,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,32.0,2.0,281.0,5.932266,43.136427,000AM,710
2024-1011503,2024-03-08,1,Vente,270000.0,336.0,,AV DE LA RESISTANCE,6180,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,118.0,4.0,232.0,5.948135,43.116041,000BR,728
2024-1011516,2024-03-08,1,Vente,420259.0,493.0,,CHE DE TERRE ROUGE,6906,83200.0,83137,Toulon,83,,2.0,111.62,,,,,,,,,1,1.0,Maison,114.0,5.0,501.0,5.978335,43.140234,000AD,728
2024-1011522,2024-03-21,1,Vente,365000.0,252.0,,RUE LACORDAIRE,4220,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,40.0,2.0,494.0,5.914531,43.131616,000CX,715
2024-1011522,2024-03-21,1,Vente,365000.0,252.0,,RUE LACORDAIRE,4220,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,28.0,1.0,494.0,5.914531,43.131616,000CX,715
2024-1011522,2024-03-21,1,Vente,365000.0,252.0,,RUE LACORDAIRE,4220,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,28.0,1.0,494.0,5.914531,43.131616,000CX,715
2024-1011522,2024-03-21,1,Vente,365000.0,252.0,,RUE LACORDAIRE,4220,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,40.0,2.0,494.0,5.914531,43.131616,000CX,715
2024-1011522,2024-03-21,1,Vente,365000.0,252.0,,RUE LACORDAIRE,4220,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,100.0,4.0,494.0,5.914531,43.131616,000CX,715
2024-1011527,2024-03-07,1,Vente,140000.0,17.0,,AV MARCEAU,4790,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,102.0,4.0,455.0,5.949393,43.126542,000AR,729
2024-1011534,2024-03-21,1,Vente,200000.0,82.0,A,BD SAINT JACQUES,6490,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,70.0,2.0,150.0,5.902816,43.132734,000DL,715
2024-1011560,2024-03-25,1,Vente,394720.0,553.0,,BD DELESCLUZE,2135,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,86.0,4.0,171.0,5.89947,43.137716,000DS,711
2024-1011717,2024-03-29,1,Vente,350000.0,103.0,,RUE PIERRE DEVOLUY,5765,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,56.0,2.0,336.0,5.967454,43.120194,000BH,707
2024-1011725,2024-03-13,1,Vente,474876.0,139.0,B,CHE DU PELVOUX,5700,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,78.0,3.0,608.0,5.909173,43.152184,000DY,723
2024-1011777,2024-04-02,1,Vente,367250.0,47.0,,IMP DES COTEAUX FLEURIS,1920,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,56.0,4.0,190.0,5.933387,43.137053,000AM,703
2024-1011796,2024-04-10,1,Vente,215000.0,185.0,,RUE CHANOINE BOUISSON,1396,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,52.0,3.0,204.0,5.902089,43.136427,000DI,695
2024-1011864,2024-04-12,1,Vente,237700.0,454.0,,AV COLONEL PICOT,1755,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,90.0,5.0,228.0,5.962077,43.126918,000BE,693
2024-1011871,2024-03-21,1,Vente,345000.0,24.0,,RUE ELISEE RECLUS,2550,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,35.0,1.0,120.0,5.909591,43.131773,000CX,715
2024-1011871,2024-03-21,1,Vente,345000.0,24.0,,RUE ELISEE RECLUS,2550,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,30.0,1.0,120.0,5.909591,43.131773,000CX,715
2024-1011871,2024-03-21,1,Vente,345000.0,24.0,,RUE ELISEE RECLUS,2550,83200.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,35.0,1.0,120.0,5.909591,43.131773,000CX,715
